areacode,districtcode,city_geocode,city,district_geocode,district,lon,lat,sta_fc,sta_rt,province,fc_lon,fc_lat,rt_lon,rt_lat,origin_areacode,exclude
101282001,440900,440900,茂名市,440900,茂名,110.919229,21.659751,59659,59659,广东省,110.9122,21.7494,110.9122,21.7494,101282001,1
101282007,440902,440900,茂名市,440902,茂南,110.920542,21.660425,59659,59659,广东省,110.9122,21.7494,110.9122,21.7494,101282007,0
101282004,440904,440900,茂名市,440904,电白,111.007264,21.507219,59664,59664,广东省,110.9886,21.5458,110.9886,21.5458,101282004,0
101282002,440981,440900,茂名市,440981,高州,110.853251,21.915153,59653,59653,广东省,110.8592,21.9425,110.8592,21.9425,101282002,0
101282003,440982,440900,茂名市,440982,化州,110.63839,21.654953,59655,59655,广东省,110.6144,21.6472,110.6144,21.6472,101282003,0
101282005,440983,440900,茂名市,440983,信宜,110.941656,22.352681,59456,59456,广东省,110.925,22.3469,110.925,22.3469,101282005,0
101280901,441200,441200,肇庆市,441200,肇庆,112.472529,23.051546,59278,59278,广东省,112.4786,22.9906,112.4786,22.9906,101280901,1
101280904,441202,441200,肇庆市,441202,端州,112.472329,23.052662,59278,59278,广东省,112.4786,22.9906,112.4786,22.9906,101280904,0
101280909,441203,441200,肇庆市,441203,鼎湖,112.565249,23.155822,59278,59278,广东省,112.4786,22.9906,112.4786,22.9906,101280909,0
101280908,441204,441200,肇庆市,441204,高要,112.460846,23.027694,59278,59278,广东省,112.4786,22.9906,112.4786,22.9906,101280908,0
101280902,441223,441200,肇庆市,441223,广宁,112.440419,23.631486,59271,59271,广东省,112.4242,23.6372,112.4242,23.6372,101280902,0
101280906,441224,441200,肇庆市,441224,怀集,112.182466,23.913072,59270,59270,广东省,112.1903,23.9397,112.1903,23.9397,101280906,0
101280907,441225,441200,肇庆市,441225,封开,111.502973,23.434731,59264,59264,广东省,111.5047,23.3917,111.5047,23.3917,101280907,0
101280905,441226,441200,肇庆市,441226,德庆,111.78156,23.141711,59269,59269,广东省,111.7775,23.165,111.7775,23.165,101280905,0
101280903,441284,441200,肇庆市,441284,四会,112.695028,23.340324,59276,59276,广东省,112.6439,23.3442,112.6439,23.3442,101280903,0
101280301,441300,441300,惠州市,441300,惠州,114.412599,23.079404,59298,715452,广东省,114.3744,23.0711,114.4203,23.0917,101280301,1
101280306,441302,441300,惠州市,441302,惠城,114.413978,23.079883,59298,715452,广东省,114.3744,23.0711,114.4203,23.0917,101280306,0
101280303,441303,441300,惠州市,441303,惠阳,114.469444,22.78851,59298,59298,广东省,114.3744,23.0711,114.3744,23.0711,101280303,0
101280302,441322,441300,惠州市,441322,博罗,114.284254,23.167575,59297,59297,广东省,114.2564,23.1786,114.2564,23.1786,101280302,0
101280304,441323,441300,惠州市,441323,惠东,114.723092,22.983036,59492,59492,广东省,114.6683,23.0261,114.6683,23.0261,101280304,0
101280305,441324,441300,惠州市,441324,龙门,114.259986,23.723894,59290,59290,广东省,114.2483,23.7808,114.2483,23.7808,101280305,0
